#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab16 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
0 1.84 43.65 8.06 12.89 180.02
1 2.25 49.74 8.32 11.76 172.45
2 3.11 36.09 8.80 13.66 182.84
3 3.06 54.04 9.85 14.92 189.36
4 3.76 39.70 11.36 16.78 185.12
5 3.60 31.17 6.30 9.89 141.83
6 3.75 47.50 15.13 21.31 214.37
7 3.78 43.70 15.19 21.33 228.53
8 4.62 50.80 16.89 22.30 214.21
9 4.03 27.50 5.37 6.83 77.89
10 4.43 55.66 16.36 23.55 232.85
11 5.04 33.57 10.97 16.36 188.41
12 5.28 58.70 13.38 18.75 202.04
13 5.32 28.64 7.48 12.27 151.50
14 5.74 38.22 15.54 23.05 212.97
15 5.65 43.24 17.13 23.59 198.28
16 6.06 53.27 20.35 25.48 201.33
17 6.08 48.03 21.23 26.71 219.99
18 6.95 34.50 14.47 22.23 196.55
19 6.97 26.15 8.99 13.86 155.72
20 7.26 30.51 14.10 19.52 200.89
21 7.23 56.17 22.06 29.94 220.55
22 7.17 59.54 21.29 27.59 207.09
23 7.40 22.02 6.38 10.11 110.30
24 7.34 39.50 19.20 26.32 221.68
25 7.28 62.99 19.84 27.14 225.26
26 7.51 45.16 21.69 30.29 213.27
27 8.05 49.08 24.52 30.54 218.47
28 7.97 52.80 25.12 31.18 223.97
29 8.71 41.80 21.08 29.69 202.66
30 8.79 28.44 14.10 23.15 206.78
31 8.93 37.01 18.68 27.96 211.07
32 8.91 62.10 20.98 27.54 189.59
33 9.10 24.44 10.18 16.70 163.64
34 9.07 33.12 18.51 27.56 209.99
35 9.08 56.54 25.79 31.33 206.73
36 9.28 20.24 7.17 12.68 116.41
37 9.65 46.19 22.52 34.16 217.28
38 9.96 51.75 22.93 30.86 179.11
39 9.99 59.50 28.63 36.89 226.06
40 10.61 31.38 18.19 28.76 195.94
41 10.75 37.81 19.92 28.29 182.45
42 10.70 42.67 23.58 33.50 212.08
43 10.66 65.33 21.83 28.23 180.43
44 10.76 27.35 18.10 26.00 203.63
45 10.99 23.39 12.31 22.28 173.77
46 11.25 56.83 27.12 33.28 180.64
47 11.19 61.61 29.32 33.93 195.40
48 11.34 47.13 25.73 36.72 206.05
49 11.46 19.46 10.59 16.32 138.60
50 12.04 50.20 25.76 35.51 187.31
51 12.10 70.45 18.95 24.49 165.56
52 12.25 34.31 23.87 32.09 195.36
53 12.38 53.61 31.46 39.37 209.77
54 12.39 40.82 26.40 35.00 212.46
55 12.70 28.09 19.93 29.16 190.08
56 12.88 31.17 22.35 32.93 195.43
57 12.95 44.94 25.51 35.56 191.15
58 12.63 63.59 29.77 35.71 165.84
59 13.09 25.05 17.40 29.89 187.98
60 13.00 17.30 9.62 16.46 118.50
61 13.04 21.81 14.61 26.06 180.82
62 12.96 67.20 26.73 32.90 172.52
63 13.29 37.70 25.48 36.47 195.50
64 13.37 59.96 28.79 34.77 151.86
65 13.46 55.79 31.29 41.24 197.11
66 14.04 50.80 28.90 38.59 177.64
67 14.27 70.52 26.74 30.10 138.91
68 14.75 15.52 11.94 19.27 122.62
69 14.37 42.33 29.05 40.66 209.66
70 14.63 35.06 24.85 35.93 183.37
71 14.51 65.96 30.77 38.09 158.06
72 14.56 19.87 16.30 25.68 157.61
73 14.95 46.95 28.84 39.65 183.74
74 14.70 27.46 23.26 36.66 212.80
75 15.11 31.15 24.56 35.71 173.12
76 15.04 74.64 18.43 23.62 112.51
77 15.16 23.85 20.83 31.85 170.45
78 15.51 39.40 28.42 39.44 181.27
79 15.06 55.48 32.31 41.58 187.45
80 15.56 59.00 32.18 38.48 159.07
81 15.51 62.83 32.42 39.34 146.00
82 15.99 51.46 31.42 40.41 168.80
83 16.37 43.54 28.71 41.10 179.65
84 15.98 68.96 31.33 32.54 127.42
85 16.23 20.47 20.36 32.30 170.63
86 16.45 34.98 26.26 38.84 170.44
87 16.62 27.82 24.90 36.04 162.16
88 16.68 72.69 28.43 33.19 113.01
89 16.89 76.86 20.10 24.22 94.53
90 16.96 66.13 36.03 44.22 154.51
91 17.02 47.32 33.89 45.47 178.48
92 17.20 54.98 33.35 42.73 149.78
93 17.22 23.85 24.35 38.02 171.39
94 17.44 13.89 13.08 21.90 98.42
95 17.64 32.18 26.52 38.54 160.33
96 17.43 39.57 30.02 42.55 170.90
97 17.38 59.08 36.98 45.32 160.55
98 17.63 62.59 38.13 45.63 150.28
99 17.85 50.34 37.19 47.99 175.78
100 18.06 20.01 23.40 35.12 146.77
101 18.29 69.69 31.38 35.76 106.87
102 18.42 44.36 32.05 43.16 151.00
103 18.49 36.86 30.26 41.21 157.53
104 18.64 74.64 29.31 32.26 92.53
105 18.75 11.83 11.42 18.34 79.35
106 18.83 29.54 30.73 42.13 155.73
107 18.66 26.27 30.33 46.20 182.10
108 18.91 16.73 19.20 32.60 131.95
109 18.96 65.04 35.91 42.75 119.63
110 19.10 52.44 35.16 44.19 132.00
111 19.14 56.25 36.25 42.82 126.64
112 19.34 22.73 26.50 38.54 137.34
113 19.69 60.09 35.99 39.79 109.26
114 19.49 48.73 37.56 46.47 147.82
115 19.87 41.18 34.72 44.86 146.20
116 19.99 32.40 34.19 47.21 167.98
117 19.91 78.44 26.77 28.52 80.82
118 20.12 36.14 35.04 47.08 161.04
119 20.09 72.21 36.12 40.29 105.98
120 20.42 45.66 39.89 51.92 152.90
121 20.28 68.50 41.51 47.53 120.08
122 20.41 14.65 21.26 29.89 113.82
123 20.67 18.27 25.71 35.81 118.04
124 20.76 26.47 28.54 41.11 123.46
125 20.58 63.77 41.94 50.35 124.51
126 21.20 81.92 22.30 22.80 64.15
127 21.16 11.79 16.14 25.39 87.05
128 20.97 51.07 37.63 46.08 119.15
129 21.10 55.79 36.22 42.20 101.08
130 21.21 22.37 29.64 39.55 120.00
131 21.46 30.45 35.18 44.40 136.02
132 21.26 75.41 37.88 36.36 82.08
133 21.46 38.69 36.93 47.93 143.07
134 21.73 60.56 44.68 47.86 111.20
135 21.73 66.77 44.36 48.52 110.10
136 21.89 42.49 41.11 49.85 135.17
137 22.10 34.46 37.92 47.71 134.10
138 22.24 47.60 38.19 47.40 110.94
139 22.42 71.59 42.29 43.73 86.77
140 22.24 8.86 13.35 19.51 61.31
141 22.33 79.64 43.32 39.57 87.70
142 22.20 20.18 30.19 37.55 107.48
143 22.84 16.87 30.31 39.41 104.24
144 22.78 13.46 25.22 32.12 91.71
145 22.78 25.69 37.79 47.99 128.18
146 22.87 52.51 39.03 47.49 96.96
147 23.12 62.91 41.07 44.43 83.63
148 23.17 28.72 40.53 48.34 124.22
149 23.07 57.54 39.54 47.05 92.95
150 23.18 76.05 42.60 40.34 76.74
151 23.49 38.57 41.45 53.24 122.41
152 23.41 43.07 43.11 56.39 139.12
153 23.38 67.40 44.17 44.74 79.69
154 23.64 83.09 31.07 27.61 60.23
155 23.03 19.88 32.89 44.91 114.23
156 23.56 22.91 42.41 50.88 124.99
157 24.07 31.46 47.92 51.14 119.21
158 24.02 10.40 18.58 26.15 67.34
159 23.95 35.14 44.43 53.76 133.66
160 24.11 46.44 42.04 51.20 104.46
161 24.41 71.20 47.22 45.41 77.19
162 24.11 7.31 12.41 18.41 43.20
163 24.59 79.21 48.80 42.57 74.09
164 24.08 51.29 46.26 47.09 91.09
165 24.55 19.81 36.48 43.87 90.87
166 24.47 14.70 30.79 36.54 83.97
