#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ac21 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
0 2.10 51.86 5.03 11.57 54.08
1 3.49 43.67 11.95 20.25 124.89
2 3.73 48.53 13.85 26.63 142.89
3 3.76 36.61 5.94 10.13 58.55
4 3.93 52.87 13.86 25.20 133.41
5 4.02 58.43 5.04 12.79 50.02
6 4.49 40.33 13.79 22.82 139.56
7 5.42 45.39 21.43 36.83 176.44
8 5.46 54.33 19.18 35.52 165.52
9 5.69 37.64 14.53 22.83 132.53
10 5.81 33.61 7.82 11.20 65.44
11 5.75 58.39 10.15 21.07 104.19
12 5.82 49.43 23.45 40.24 194.36
13 6.47 41.98 23.52 37.42 185.26
14 6.97 61.22 10.35 22.42 96.36
15 7.06 53.26 24.43 44.23 194.41
16 7.37 37.35 21.32 30.12 166.08
17 7.90 56.48 23.01 41.90 171.00
18 7.48 49.04 28.36 48.32 195.68
19 7.76 45.17 27.98 41.44 191.43
20 7.65 33.06 12.19 17.02 107.91
21 7.69 66.17 4.58 13.07 31.83
22 8.32 41.65 29.19 40.81 189.97
23 8.60 59.51 22.19 40.50 166.18
24 8.61 62.93 14.14 28.44 112.06
25 8.77 52.14 27.96 50.44 197.43
26 9.06 38.63 29.62 40.90 190.26
27 9.07 66.30 7.97 19.42 61.81
28 9.12 47.72 31.66 47.83 195.36
29 9.19 35.42 26.15 33.45 177.62
30 9.32 28.06 5.63 8.59 43.28
31 9.50 31.49 12.73 18.16 103.43
32 9.80 55.11 31.55 52.12 192.41
33 10.05 43.77 32.76 42.18 179.07
34 10.46 69.22 6.75 15.96 39.53
35 10.32 50.85 35.28 53.74 198.77
36 10.57 58.09 29.06 50.53 171.46
37 10.55 61.53 26.28 45.94 167.02
38 10.65 40.28 29.82 41.20 175.18
39 10.47 65.31 16.41 30.43 113.13
40 10.77 27.47 8.12 10.97 60.94
41 10.81 47.35 37.57 50.70 188.71
42 10.69 35.16 26.15 33.48 161.13
43 11.23 31.60 19.28 25.57 143.91
44 11.39 54.03 36.00 57.76 191.00
45 11.89 37.07 31.00 40.10 170.03
46 11.72 64.53 23.29 45.59 148.62
47 11.94 45.48 37.95 50.70 187.31
48 11.91 50.74 41.55 56.49 195.15
49 12.37 42.64 36.40 44.94 180.57
50 12.07 69.55 10.31 23.36 63.81
51 12.25 59.65 34.15 51.72 171.42
52 12.44 25.37 7.44 10.74 51.30
53 12.45 29.35 17.89 21.92 122.08
54 12.51 40.02 35.48 43.69 183.09
55 12.63 56.42 37.76 57.81 180.77
56 12.74 33.98 28.54 34.61 153.47
57 13.01 49.04 39.64 52.97 175.81
58 13.04 62.79 31.17 54.97 163.15
59 12.48 73.77 5.52 14.24 19.72
60 13.38 66.34 24.10 43.83 132.55
61 13.33 53.14 38.37 53.68 171.65
62 13.69 73.89 6.78 16.95 31.50
63 13.83 23.67 7.19 9.66 42.59
64 13.50 45.12 38.85 51.15 185.71
65 13.63 70.38 16.61 32.38 88.19
66 13.86 38.87 32.17 39.62 151.44
67 13.99 32.18 28.23 34.67 145.19
68 14.08 28.16 19.16 22.55 110.00
69 14.12 59.08 38.47 53.82 158.16
70 14.69 43.33 36.34 42.20 147.56
71 14.35 35.81 34.35 41.79 164.56
72 14.31 47.88 41.43 53.07 176.54
73 14.59 55.77 41.62 54.90 168.12
74 14.69 62.36 38.04 58.02 164.45
75 14.96 52.06 42.09 54.51 162.07
76 14.93 68.02 28.55 50.43 137.31
77 15.25 21.79 6.73 8.85 36.86
78 15.31 71.64 17.68 35.27 86.67
79 15.52 25.35 17.18 18.45 87.14
80 15.47 75.48 9.33 20.11 35.92
81 15.42 49.19 49.54 58.78 192.53
82 15.61 65.44 37.90 60.44 152.80
83 15.89 39.38 36.71 44.26 143.96
84 15.53 32.46 30.78 36.28 140.41
85 15.65 36.67 38.98 46.89 174.51
86 15.74 29.18 27.80 31.50 124.91
87 16.10 58.86 44.56 56.30 153.53
88 16.41 41.62 42.98 48.63 159.36
89 16.09 54.90 47.20 59.82 159.38
90 16.57 46.77 43.89 50.13 155.14
91 16.39 62.60 43.71 58.35 143.52
92 16.55 44.16 50.61 50.04 169.92
93 16.92 34.06 38.71 39.56 138.76
94 16.71 50.38 47.99 55.95 163.14
95 16.63 21.54 10.85 10.92 49.78
96 16.70 72.42 24.34 42.36 100.17
97 17.02 67.23 37.30 55.17 132.22
98 17.09 27.81 31.38 33.50 118.39
99 17.57 23.91 20.49 21.24 82.76
100 17.48 37.52 40.35 43.80 142.28
101 17.50 57.09 52.85 61.76 162.63
102 17.56 53.36 51.82 54.61 155.09
103 17.78 31.04 35.36 37.71 122.25
104 17.76 75.59 18.43 33.09 72.74
105 17.90 60.92 46.68 58.49 144.33
106 17.99 49.49 49.99 56.16 156.24
107 18.08 70.68 36.82 54.65 116.78
108 18.15 41.30 47.76 47.39 141.92
109 18.31 64.12 45.18 60.62 134.14
110 18.38 44.79 53.19 50.72 147.99
111 18.41 19.68 10.54 10.55 39.28
112 18.59 34.88 46.15 43.34 138.61
113 18.72 27.42 33.50 33.71 109.25
114 18.77 67.31 53.06 66.45 140.51
115 18.98 47.86 50.19 56.63 152.68
116 19.03 55.80 59.65 62.52 162.41
117 19.19 52.52 52.95 55.08 142.61
118 19.10 74.33 29.50 47.79 94.07
119 19.23 58.97 54.94 60.43 148.58
120 19.48 37.48 48.53 47.06 130.73
121 19.36 31.32 38.94 38.17 100.47
122 19.51 21.76 21.56 20.23 74.52
123 19.76 40.20 52.34 46.05 133.01
124 19.88 62.76 54.56 57.70 129.49
125 19.89 70.28 45.54 58.86 115.70
126 20.09 78.20 18.60 32.68 59.49
127 20.16 43.11 55.44 48.52 131.37
128 19.97 25.27 34.17 33.46 101.59
129 20.30 18.10 11.35 11.08 34.60
130 20.45 46.25 58.52 52.33 133.96
131 20.38 49.47 55.91 55.07 139.47
132 20.34 66.33 50.95 61.67 124.28
133 20.31 34.27 47.97 46.73 129.69
134 20.50 28.29 38.88 34.56 102.26
135 20.69 56.13 57.95 56.72 130.16
136 20.90 52.34 59.36 56.71 134.81
137 20.72 59.97 60.70 64.45 135.01
138 20.71 74.13 44.10 59.58 112.46
139 21.29 32.16 51.57 45.01 113.72
140 21.30 23.91 37.83 30.49 89.34
141 21.32 37.26 55.13 50.72 138.00
142 21.56 71.27 55.31 66.14 120.77
143 21.80 40.02 55.86 47.11 121.00
144 21.65 80.41 17.25 29.44 44.62
145 21.78 20.39 27.84 21.97 69.26
146 21.68 63.63 60.18 59.84 118.66
147 21.74 68.05 56.00 66.16 118.60
148 21.85 76.61 41.89 54.99 99.49
149 22.16 42.80 56.74 47.63 116.27
150 22.09 54.91 65.98 57.82 130.30
151 22.16 45.88 64.77 54.34 133.58
152 22.29 83.08 11.37 24.40 25.24
153 22.22 30.03 47.75 42.95 105.82
154 22.22 49.21 60.95 54.06 126.72
155 22.13 59.51 62.06 59.88 124.42
156 22.37 17.24 12.62 12.50 37.24
157 22.55 26.88 48.10 37.66 94.39
158 22.51 35.30 56.80 48.59 116.19
159 22.87 73.50 60.17 68.07 112.00
160 23.03 52.20 66.86 60.08 131.85
161 22.99 23.24 45.78 33.05 84.49
162 23.11 66.67 64.33 62.89 116.24
163 23.29 57.49 67.62 60.31 121.68
164 23.05 62.98 68.77 63.97 129.11
165 23.53 81.03 30.33 40.31 60.91
166 23.48 38.93 58.52 50.23 116.12
