#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ad36 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
0 2.31 49.43 8.65 15.67 179.33
1 3.35 43.07 11.38 18.09 186.23
2 3.50 52.20 11.40 20.42 198.47
3 3.91 46.77 15.74 22.69 212.60
4 3.90 59.34 9.52 17.13 168.77
5 4.17 55.67 11.46 20.84 190.42
6 4.81 39.75 12.91 21.71 189.60
7 5.00 49.32 17.09 27.85 219.54
8 5.30 43.46 16.90 26.62 216.11
9 5.53 52.37 18.09 27.57 218.88
10 5.75 58.52 15.54 24.62 189.56
11 5.82 36.73 15.26 24.89 212.83
12 6.33 46.39 19.69 29.64 218.88
13 6.31 54.96 18.28 29.12 205.17
14 6.91 64.54 9.14 15.59 125.58
15 7.02 61.31 15.42 24.70 170.67
16 7.05 50.62 20.91 32.30 214.48
17 7.18 39.32 19.96 33.19 218.97
18 7.13 42.57 21.45 34.57 222.64
19 7.30 35.01 19.45 27.83 216.42
20 7.42 31.47 14.43 23.32 194.63
21 7.75 56.17 21.08 32.44 203.48
22 7.94 47.68 23.10 37.59 228.62
23 8.50 44.22 27.49 38.02 222.51
24 8.61 52.24 23.67 34.74 201.15
25 8.47 59.54 22.10 30.51 182.17
26 8.63 67.60 9.75 16.96 114.97
27 8.63 28.15 12.65 18.61 180.65
28 8.65 37.75 25.09 35.16 226.46
29 8.96 64.65 16.64 25.12 149.85
30 9.30 33.88 21.77 31.78 209.73
31 9.34 48.60 27.83 42.78 224.93
32 9.65 30.55 19.20 27.13 198.43
33 9.63 40.53 27.69 36.67 216.77
34 9.41 55.33 27.06 37.95 199.05
35 9.68 61.85 21.52 33.49 172.82
36 10.02 45.65 28.50 44.13 221.76
37 10.27 58.23 25.27 36.52 182.02
38 10.31 36.20 27.25 39.03 217.91
39 10.63 50.21 28.92 42.56 202.63
40 10.79 43.11 31.02 41.63 214.68
41 10.71 66.04 19.07 26.18 132.73
42 10.81 53.57 29.90 41.09 195.65
43 10.97 26.67 17.18 25.62 184.90
44 11.28 61.99 24.89 34.36 155.20
45 11.40 38.02 28.81 42.55 222.88
46 11.42 32.64 25.79 36.94 207.08
47 11.59 29.46 22.33 31.07 197.94
48 11.70 46.97 33.58 42.88 207.01
49 11.73 68.75 17.96 22.91 109.67
50 11.98 40.62 31.13 45.97 219.20
51 11.77 57.88 29.59 39.11 178.11
52 12.44 34.91 29.37 43.43 216.48
53 12.24 53.95 32.26 42.97 188.86
54 12.41 64.06 26.27 33.99 146.16
55 12.51 50.07 33.51 46.93 191.38
56 12.67 43.58 35.78 43.78 200.80
57 12.63 24.40 16.50 21.59 162.96
58 13.18 60.05 31.32 39.46 156.86
59 13.26 31.17 29.97 41.03 205.75
60 13.28 66.86 27.05 35.91 129.52
61 13.36 70.82 20.52 25.21 96.27
62 13.53 28.20 27.37 35.18 189.74
63 13.43 37.41 33.32 43.67 206.00
64 13.45 46.90 34.34 44.35 187.61
65 13.46 56.18 32.03 44.67 170.20
66 14.25 74.12 18.26 21.27 81.06
67 13.81 52.29 35.99 45.70 174.26
68 13.75 40.40 36.49 49.01 214.71
69 14.17 22.32 18.71 21.98 154.32
70 14.13 63.21 32.96 39.67 140.07
71 14.40 33.12 32.25 41.78 188.25
72 14.55 25.96 27.65 35.28 185.67
73 14.68 42.63 37.28 46.46 186.02
74 14.80 58.30 34.03 44.01 158.56
75 15.12 49.99 38.40 46.47 168.84
76 14.94 67.48 32.44 38.26 115.06
77 14.92 46.52 37.88 48.46 179.55
78 15.29 35.69 36.98 45.99 201.62
79 15.09 54.93 39.84 50.67 170.16
80 15.41 70.81 32.35 34.77 101.31
81 15.41 39.02 37.73 46.32 191.04
82 15.56 61.02 35.21 45.22 141.71
83 15.55 20.46 19.98 24.94 159.87
84 15.80 29.25 32.63 37.93 169.59
85 15.91 64.27 35.89 44.53 133.38
86 15.96 44.15 41.99 48.24 181.97
87 16.09 24.91 28.95 34.09 160.83
88 16.26 75.24 26.98 25.46 79.68
89 16.30 52.88 45.47 49.16 152.41
90 16.50 32.28 35.25 42.87 184.01
91 16.60 56.77 41.26 46.99 142.54
92 16.81 47.99 42.71 51.80 158.22
93 16.92 67.24 38.90 43.96 111.15
94 16.78 18.52 17.52 21.42 124.21
95 16.94 39.14 40.54 52.23 180.82
96 17.00 71.29 39.87 36.75 97.67
97 17.03 35.24 39.55 47.13 187.36
98 17.37 41.86 40.68 48.17 170.81
99 17.23 60.25 42.44 51.74 136.44
100 17.56 22.45 28.41 31.47 138.23
101 17.45 44.83 46.36 50.36 169.91
102 17.51 51.10 43.89 55.21 148.15
103 17.62 26.41 33.59 41.35 164.90
104 17.84 63.61 46.13 49.02 121.47
105 17.84 78.71 28.27 22.89 65.83
106 18.02 29.35 35.59 46.48 162.91
107 17.63 18.96 22.13 22.13 112.12
108 18.30 54.85 44.50 52.31 128.86
109 18.19 75.03 37.74 30.99 78.04
110 18.34 37.09 40.92 50.67 170.89
111 18.53 32.01 38.15 46.04 158.90
112 18.61 58.14 46.92 55.46 132.08
113 18.63 67.24 49.81 49.64 108.58
114 18.60 70.75 48.38 47.08 100.12
115 18.71 47.12 46.90 53.03 144.60
116 18.87 40.33 45.62 52.16 165.51
117 18.92 50.93 49.36 54.48 141.29
118 19.15 24.58 34.64 38.78 145.65
119 19.37 20.20 30.02 31.16 118.73
120 19.33 43.68 45.96 53.14 144.27
121 19.51 61.00 44.32 51.81 112.00
122 19.36 34.71 43.21 51.59 171.98
123 19.74 64.46 54.47 54.85 110.83
124 19.82 72.69 48.94 40.72 88.10
125 19.77 78.07 45.97 31.53 72.20
126 19.97 28.10 37.35 40.96 133.93
127 19.92 16.94 24.64 24.86 104.12
128 20.07 52.81 51.35 57.18 132.87
129 20.14 38.16 48.58 54.49 162.34
130 20.35 56.26 48.12 53.45 115.71
131 20.32 48.44 50.62 54.75 119.20
132 20.41 68.13 59.29 50.48 100.17
133 20.55 32.34 47.46 49.68 150.28
134 20.81 41.12 52.24 53.82 138.71
135 20.91 23.44 37.96 38.29 127.03
136 21.02 75.31 61.70 47.31 90.08
137 20.88 15.57 20.99 22.85 91.18
138 21.08 44.79 52.85 54.89 121.53
139 21.10 59.19 57.93 55.64 111.05
140 21.09 35.66 48.39 54.87 155.89
141 21.37 80.54 54.62 30.05 62.24
142 21.47 29.95 50.70 48.91 142.85
143 21.47 19.36 36.01 34.04 114.90
144 21.37 64.05 58.29 54.80 99.87
145 21.53 71.06 68.01 49.80 90.53
146 21.54 52.45 60.27 56.89 115.53
147 21.99 27.04 48.89 49.02 139.71
148 22.07 48.60 57.36 52.81 105.01
149 22.20 38.60 55.49 54.45 135.55
150 22.28 67.32 70.11 55.22 95.59
151 22.32 55.45 61.03 61.58 110.81
152 22.33 61.34 68.30 61.92 111.24
153 22.48 77.45 71.43 43.24 72.75
154 22.56 34.56 56.84 53.89 135.25
155 22.79 15.77 34.36 28.47 90.40
156 22.57 41.73 61.99 56.44 127.24
157 22.91 24.43 49.42 45.89 120.52
158 23.03 31.71 61.32 55.58 137.31
159 22.90 44.79 62.42 57.63 115.33
160 22.92 73.20 76.52 50.27 83.66
161 23.14 58.54 67.61 63.41 104.62
162 23.08 20.84 46.62 43.68 113.03
163 23.34 64.48 84.20 61.93 99.92
164 23.35 81.49 72.17 38.66 63.50
165 23.36 51.89 62.07 54.18 96.24
166 23.56 70.06 80.34 57.37 85.94
