#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
0 1.72 44.81 3.78 1.79 12.64
1 1.96 50.32 3.96 1.15 12.94
2 2.39 47.52 5.60 1.99 15.03
3 2.50 45.18 3.38 2.57 12.35
4 2.77 51.92 5.53 2.39 18.78
5 2.69 43.28 3.98 1.67 10.24
6 3.07 49.34 5.82 2.56 21.62
7 2.93 54.15 5.73 2.77 19.25
8 2.97 41.68 4.60 1.83 12.69
9 3.59 44.04 6.03 1.90 22.64
10 3.33 46.59 5.98 1.81 15.12
11 3.76 38.75 5.05 1.86 17.53
12 3.88 51.10 5.56 2.85 18.03
13 4.20 40.50 5.89 2.12 17.16
14 3.89 53.33 6.38 2.67 18.67
15 3.80 55.16 5.10 2.36 19.69
16 4.68 47.56 9.99 4.78 40.27
17 4.57 42.83 7.57 3.20 26.78
18 5.12 56.16 8.32 3.78 32.57
19 5.69 51.40 14.39 6.44 58.01
20 5.30 35.10 5.13 2.28 16.73
21 5.64 37.08 7.09 3.43 27.71
22 6.02 44.26 16.50 7.39 68.58
23 5.36 38.62 7.79 2.81 28.84
24 6.51 40.22 14.11 6.09 55.04
25 5.81 33.41 5.42 1.93 17.12
26 5.93 61.62 5.76 1.96 19.95
27 7.05 61.12 8.50 3.44 30.55
28 6.57 36.05 6.92 2.89 17.47
29 7.08 47.64 25.04 12.26 115.68
30 6.55 58.63 7.45 4.18 23.00
31 7.15 56.07 17.18 7.88 72.54
32 7.89 32.05 7.77 3.20 24.53
33 7.10 64.45 5.45 2.03 14.97
34 7.80 51.96 25.66 12.65 122.30
35 7.21 33.88 6.02 2.61 18.02
36 8.16 37.27 18.83 8.66 72.32
37 8.84 46.91 30.38 16.87 139.00
38 8.67 41.99 29.42 15.91 133.72
39 8.59 59.05 20.98 9.37 84.02
40 8.65 63.69 8.58 3.57 30.29
41 8.54 67.26 4.66 2.38 15.25
42 9.70 56.04 30.95 16.40 145.08
43 9.25 27.13 5.51 1.85 14.61
44 9.77 30.22 9.48 4.23 30.61
45 9.94 62.24 20.55 8.83 71.12
46 9.92 35.17 22.34 10.83 85.88
47 9.79 52.09 34.62 20.66 168.70
48 9.40 68.08 5.44 2.83 12.65
49 10.50 39.89 34.60 19.33 150.22
50 10.10 44.86 33.88 21.65 183.15
51 10.69 66.15 11.58 5.08 33.35
52 10.00 68.35 5.67 2.73 12.97
53 10.15 26.93 5.38 2.28 17.64
54 10.87 48.30 38.97 21.64 185.11
55 10.90 44.04 36.70 22.60 179.52
56 10.59 68.86 6.45 3.24 14.61
57 10.83 26.57 6.79 2.84 17.13
58 11.40 31.79 24.04 12.12 85.32
59 11.50 58.18 35.97 21.14 166.69
60 11.66 54.11 36.26 23.68 189.77
61 11.74 62.17 29.44 15.50 118.11
62 11.95 38.33 37.79 22.17 168.25
63 11.63 69.53 8.17 3.55 21.25
64 12.19 50.65 38.53 25.11 181.93
65 12.52 34.40 33.17 18.85 131.92
66 11.66 25.46 7.25 3.08 20.75
67 12.47 71.54 7.77 3.42 17.40
68 12.56 45.13 37.00 22.24 157.43
69 12.74 28.93 20.39 9.01 59.80
70 12.67 66.78 19.54 8.88 57.56
71 12.30 41.62 26.74 12.90 79.03
72 13.04 24.97 9.80 4.39 24.16
73 13.17 56.73 41.71 25.28 181.51
74 13.44 62.15 37.68 22.30 154.74
75 13.00 53.56 30.97 14.73 87.20
76 13.50 73.61 7.51 3.32 13.53
77 13.92 42.25 43.19 27.94 183.77
78 13.77 38.59 39.64 24.08 164.15
79 13.93 49.85 40.17 26.79 173.03
80 14.20 65.73 35.74 18.09 127.68
81 14.54 53.87 37.96 25.01 162.19
82 14.24 71.45 12.01 5.77 28.08
83 14.46 59.23 41.26 25.18 176.39
84 15.11 36.07 39.55 25.25 151.82
85 14.56 32.37 39.43 24.30 153.60
86 14.82 28.18 28.96 16.03 90.51
87 14.89 45.88 41.78 26.71 177.21
88 14.79 24.13 12.40 5.72 32.75
89 14.42 21.35 6.80 2.88 10.88
90 15.21 74.92 9.16 3.91 16.18
91 15.32 69.34 25.74 13.84 68.98
92 15.68 62.98 39.39 25.24 149.26
93 15.39 20.78 6.97 3.59 14.35
94 15.35 57.01 33.13 16.64 76.16
95 15.97 41.77 41.32 26.30 161.52
96 16.05 49.63 42.13 26.54 158.05
97 16.79 55.55 41.43 26.51 155.96
98 16.46 30.39 37.50 22.92 130.03
99 16.52 66.66 42.04 26.54 154.54
100 16.56 25.19 27.26 15.17 76.48
101 16.76 58.78 42.47 27.77 167.80
102 15.82 53.78 27.75 18.00 61.00
103 16.63 20.47 8.84 3.97 15.21
104 16.57 76.93 8.40 4.38 15.98
105 17.00 38.62 45.25 29.98 169.21
106 17.17 45.40 43.45 27.91 160.97
107 17.20 34.95 44.25 29.36 158.64
108 17.50 70.75 31.26 19.64 86.74
109 17.12 74.20 18.44 10.10 37.09
110 17.43 52.45 44.40 28.85 170.38
111 17.03 79.01 7.10 3.02 10.28
112 17.61 61.91 43.26 31.08 160.14
113 17.86 22.05 20.13 10.78 44.60
114 18.55 18.50 11.06 4.89 19.27
115 19.05 33.00 46.39 30.82 139.10
116 18.44 41.71 44.30 30.17 155.66
117 18.16 30.15 46.70 32.78 159.50
118 18.56 49.21 42.62 27.69 143.52
119 18.15 66.13 44.70 31.19 158.92
120 18.49 26.81 39.43 26.99 129.75
121 18.10 79.86 8.13 4.06 12.65
122 18.78 77.35 15.16 8.05 25.28
123 19.27 58.85 43.59 27.46 141.92
124 19.25 37.49 45.51 31.40 146.05
125 18.69 81.19 6.26 3.21 8.09
126 19.42 74.45 33.76 20.95 78.70
127 19.44 54.53 43.36 31.02 149.76
128 19.42 63.42 43.63 30.86 147.37
129 18.81 45.48 32.27 16.37 58.00
130 19.47 68.40 47.61 35.63 151.72
131 19.54 23.49 35.29 24.15 91.74
132 18.91 71.24 27.11 13.43 41.64
133 20.08 43.64 47.51 34.12 150.02
134 20.65 47.71 45.85 31.34 135.52
135 19.60 80.03 10.68 4.91 13.20
136 20.49 19.77 25.27 15.25 51.60
137 20.41 71.41 46.63 37.26 136.92
138 20.44 27.35 51.54 37.18 150.48
139 20.94 30.93 51.34 39.22 147.05
140 20.58 82.08 9.44 5.38 11.47
141 20.29 15.26 7.06 3.64 13.81
142 21.11 39.67 48.79 37.29 144.21
143 20.96 51.72 46.88 32.26 142.32
144 20.65 17.00 14.03 7.23 24.30
145 21.01 79.53 17.69 10.98 28.88
146 20.95 34.82 54.13 38.44 161.08
147 20.77 60.93 35.45 18.11 61.76
148 21.36 75.95 34.45 24.00 73.39
149 21.30 57.29 47.88 35.69 147.92
150 21.44 63.95 48.97 34.71 145.19
151 21.38 67.44 51.15 40.07 154.05
152 21.55 23.36 40.81 30.45 104.23
153 21.29 15.88 12.91 5.92 18.51
154 21.55 83.58 7.41 4.09 9.16
155 22.19 14.81 12.14 6.97 15.72
156 22.08 44.28 53.65 39.31 152.90
157 22.05 71.31 49.52 38.82 134.36
158 21.83 85.13 6.35 3.12 7.29
159 22.53 60.53 48.18 34.92 134.05
160 22.43 18.82 33.54 21.61 63.83
161 22.21 27.49 51.55 41.41 140.24
162 22.68 53.06 50.49 37.02 141.12
163 22.48 82.30 13.88 9.03 16.71
164 22.44 36.28 58.05 46.32 169.20
165 23.01 32.92 51.16 40.64 131.55
166 23.09 48.68 52.41 42.21 138.99
