#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
be5 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
0 2.35 38.07 24.98 12.17 180.40
1 2.58 45.71 26.48 12.79 187.86
2 4.07 43.89 29.33 15.30 180.86
3 3.68 49.19 27.18 13.50 182.47
4 3.84 39.82 29.78 15.73 211.06
5 3.98 33.53 27.09 13.91 189.33
6 4.77 36.69 31.54 16.60 201.13
7 5.16 48.32 33.62 17.82 204.41
8 5.58 52.45 30.41 16.02 181.68
9 5.58 28.49 29.56 14.89 199.94
10 5.67 40.83 32.99 16.84 199.87
11 5.79 56.43 26.83 14.13 161.52
12 6.47 31.65 32.69 16.37 182.31
13 6.28 44.46 33.55 16.73 199.14
14 6.32 35.10 31.69 15.24 196.62
15 6.68 48.14 35.16 18.80 191.69
16 7.07 23.07 25.15 13.40 171.18
17 7.40 38.76 34.10 17.86 187.84
18 7.29 54.34 32.76 19.28 178.49
19 7.32 26.45 32.05 16.28 203.43
20 7.92 50.97 37.12 20.29 194.39
21 7.87 42.70 37.13 20.61 201.02
22 8.11 28.99 33.42 17.79 197.52
23 7.95 58.65 33.03 17.37 172.25
24 8.34 62.41 25.39 14.34 134.09
25 8.47 35.37 36.01 19.77 187.90
26 8.61 47.23 38.16 19.94 177.44
27 8.64 20.82 27.29 15.37 184.09
28 9.03 31.93 32.64 18.12 173.45
29 9.33 56.21 36.16 20.51 158.92
30 9.06 24.18 31.64 19.21 193.22
31 9.60 39.43 37.82 20.44 173.83
32 9.51 43.83 40.22 22.60 193.19
33 9.69 52.93 40.03 23.10 173.36
34 9.66 26.64 37.79 22.08 201.67
35 9.91 60.05 40.79 22.08 174.66
36 10.19 49.72 41.49 23.15 185.04
37 10.21 19.22 27.25 14.86 165.60
38 10.24 64.62 29.86 17.58 122.79
39 10.95 28.63 36.67 20.34 163.53
40 10.77 36.67 39.33 22.84 177.59
41 11.15 32.07 36.37 20.50 160.91
42 10.79 23.10 35.07 20.79 195.05
43 11.27 46.97 41.44 25.61 170.86
44 11.32 43.16 39.74 23.18 168.37
45 11.50 58.04 45.68 27.82 175.53
46 11.73 54.64 41.90 26.89 156.17
47 11.62 61.93 42.64 27.16 159.15
48 12.11 50.98 41.43 27.10 165.98
49 11.96 19.45 31.77 18.18 159.76
50 12.06 24.99 37.03 21.78 187.61
51 12.10 65.78 37.43 24.53 129.71
52 12.30 40.40 40.01 22.87 160.00
53 12.25 34.86 41.49 23.64 174.51
54 13.00 69.44 32.16 23.54 97.61
55 13.14 27.91 40.09 24.00 169.32
56 13.13 60.30 47.62 31.33 148.19
57 13.14 47.19 45.73 28.43 165.93
58 13.35 20.73 35.91 22.08 174.11
59 14.06 55.98 46.60 32.28 138.64
60 13.76 13.38 25.56 15.01 129.18
61 14.06 16.21 33.70 19.21 144.40
62 13.77 38.92 41.94 25.20 152.20
63 14.06 43.78 43.96 28.92 157.27
64 13.83 52.21 46.12 30.99 148.10
65 13.98 23.96 38.02 25.19 165.48
66 13.73 34.28 42.54 24.32 176.84
67 13.79 64.64 48.84 34.81 148.11
68 14.14 30.80 41.68 23.56 157.84
69 14.58 72.12 33.08 28.16 99.91
70 14.60 59.59 50.23 37.94 158.11
71 14.94 47.99 45.62 28.58 147.27
72 14.91 68.12 43.28 34.92 123.79
73 15.06 18.82 38.38 24.61 168.40
74 15.13 35.95 44.08 29.05 163.32
75 15.33 25.55 42.56 27.15 166.81
76 15.48 63.21 51.37 39.54 139.72
77 15.55 41.35 44.72 29.62 151.13
78 15.70 51.60 50.12 35.41 150.90
79 15.82 29.62 42.69 26.59 160.05
80 16.32 12.17 29.23 20.06 117.71
81 16.20 21.37 37.85 23.67 138.25
82 16.08 58.70 49.84 36.61 130.12
83 16.51 55.00 49.94 37.45 132.37
84 16.52 33.72 45.74 29.94 145.49
85 16.49 38.01 45.54 33.03 150.72
86 16.59 15.46 36.61 22.09 135.11
87 16.58 44.18 46.64 30.86 135.49
88 16.43 71.43 48.35 44.21 118.80
89 16.49 67.35 54.76 47.25 135.15
90 16.79 75.51 33.92 34.47 79.24
91 16.75 48.12 50.12 35.97 153.35
92 17.16 26.90 41.94 27.64 137.62
93 17.14 63.51 55.30 48.22 132.62
94 17.73 52.29 55.15 42.17 137.58
95 17.77 17.70 43.09 29.96 144.01
96 17.67 58.78 53.78 42.07 121.59
97 17.92 22.47 42.76 26.78 135.04
98 17.84 31.70 45.93 31.16 145.09
99 17.85 39.96 50.51 36.23 146.89
100 18.20 67.58 54.72 48.08 109.90
101 18.16 71.66 58.49 55.53 124.36
102 18.67 36.25 45.97 32.39 122.37
103 18.31 43.94 50.57 36.87 139.26
104 18.40 77.25 41.25 42.70 88.69
105 18.43 47.99 50.59 43.27 132.08
106 18.88 11.11 34.25 25.42 117.16
107 18.76 63.02 60.56 58.15 122.74
108 18.90 25.82 48.05 33.61 137.59
109 19.33 54.94 55.49 49.70 118.38
110 19.46 14.71 39.20 29.47 114.51
111 19.41 30.17 48.24 34.88 127.26
112 19.31 19.25 44.20 33.04 127.86
113 19.20 58.62 57.62 51.50 121.77
114 19.42 74.38 52.75 56.48 97.81
115 19.48 51.07 56.18 47.98 130.40
116 19.48 41.04 49.50 39.98 127.51
117 19.99 66.33 56.99 57.88 102.94
118 20.19 33.93 50.31 38.81 124.20
119 20.14 70.40 61.22 65.14 105.00
120 20.03 45.82 53.28 43.43 117.02
121 20.34 60.90 61.01 58.27 110.88
122 20.67 21.23 44.18 33.76 114.84
123 20.73 27.25 45.43 32.44 107.96
124 20.86 37.28 49.44 39.78 106.14
125 21.16 79.18 44.52 52.00 69.88
126 20.99 75.71 59.05 63.93 97.09
127 21.27 56.25 56.43 52.25 99.94
128 21.27 11.97 39.65 31.49 109.77
129 20.99 41.96 57.76 49.63 126.04
130 21.29 47.82 54.46 47.89 108.37
131 21.03 51.73 60.73 56.17 126.08
132 21.44 16.83 45.23 37.96 116.69
133 21.43 63.75 64.72 67.33 109.95
134 21.66 24.44 53.03 42.57 129.78
135 21.70 31.80 48.58 40.61 104.18
136 21.78 71.46 67.28 74.24 99.43
137 22.00 67.12 65.77 74.48 98.09
138 22.03 60.06 62.40 64.69 106.34
139 22.46 8.53 32.96 29.01 86.40
140 22.35 38.67 57.26 49.54 119.25
141 22.51 43.07 57.80 51.02 109.17
142 22.48 53.32 61.76 63.39 103.85
143 22.78 20.78 47.54 41.80 100.22
144 22.74 48.09 57.99 54.41 96.37
145 22.76 74.90 66.46 79.78 100.82
146 23.02 14.71 45.79 40.28 101.99
147 23.19 29.78 55.11 47.38 117.66
148 23.34 35.94 53.88 45.56 93.16
149 23.32 26.18 50.21 39.93 97.72
150 23.23 78.87 59.40 70.78 82.32
151 23.28 63.53 68.28 75.64 101.46
152 23.40 58.21 61.64 63.42 93.82
153 23.42 69.27 68.61 83.16 95.12
154 24.19 32.32 56.15 50.51 98.60
155 24.10 40.78 55.96 55.83 97.11
156 24.01 45.64 66.51 64.23 106.81
157 23.93 53.63 63.18 65.15 93.49
158 24.10 72.68 73.32 87.81 100.94
159 24.04 7.93 38.41 34.40 95.64
160 24.35 49.93 63.64 67.61 95.09
161 24.33 82.29 50.75 62.43 66.05
162 24.55 12.91 45.16 42.94 90.63
163 24.49 19.83 50.91 50.26 103.98
164 24.61 65.69 72.08 83.35 92.07
165 24.58 76.19 75.46 86.08 91.27
166 24.79 23.39 55.08 51.53 99.71
