#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cb23 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
0 2.83 43.59 21.45 16.09 190.88
1 3.32 52.25 22.43 16.23 179.66
2 3.49 48.45 23.23 17.87 193.60
3 3.12 45.35 22.93 14.25 185.02
4 3.93 41.10 21.93 17.94 178.50
5 4.67 55.06 24.74 20.55 177.49
6 4.66 45.97 29.24 20.77 198.62
7 5.16 33.68 22.41 13.72 182.08
8 4.72 42.37 28.38 18.23 195.82
9 5.05 38.12 24.79 17.14 194.73
10 5.31 59.64 21.54 18.50 164.83
11 5.46 51.05 28.11 20.32 174.94
12 5.41 46.47 32.15 21.41 194.29
13 6.26 42.76 31.10 19.22 186.19
14 6.33 56.24 32.33 24.00 179.13
15 6.61 36.59 30.76 18.97 200.87
16 6.65 47.27 33.02 22.73 184.44
17 7.07 60.83 32.24 25.89 163.40
18 7.47 40.22 32.66 21.83 199.47
19 7.24 52.27 36.68 25.19 186.62
20 7.45 33.49 27.56 17.82 193.43
21 7.78 66.39 20.62 17.36 118.13
22 7.99 27.98 23.35 14.30 170.14
23 8.11 56.68 35.52 26.44 167.02
24 8.39 44.08 34.66 22.65 192.65
25 8.23 48.21 39.18 24.80 194.61
26 8.50 62.68 33.27 27.50 165.30
27 8.66 31.32 28.01 17.81 187.28
28 8.64 36.54 34.43 22.06 200.39
29 8.84 51.84 43.46 27.55 192.16
30 9.23 40.50 34.86 22.15 191.66
31 9.48 59.61 39.17 29.53 164.84
32 9.84 64.47 30.06 24.22 123.29
33 9.90 46.31 39.19 23.73 180.76
34 9.87 54.28 40.03 27.94 168.92
35 9.83 24.37 24.53 14.16 168.38
36 10.05 28.06 29.76 18.19 172.29
37 10.19 32.34 30.78 18.51 167.25
38 10.36 49.53 38.98 25.30 167.17
39 10.27 37.03 33.48 21.78 188.32
40 10.53 43.22 38.79 24.09 186.72
41 10.82 71.26 22.38 20.14 96.74
42 10.78 56.86 42.99 33.18 188.07
43 11.35 40.23 34.53 23.09 161.84
44 11.32 60.06 40.36 29.62 142.76
45 11.30 67.22 38.75 29.00 127.79
46 11.41 34.72 37.21 23.14 178.57
47 11.66 51.95 42.78 26.57 156.09
48 11.50 23.92 25.17 14.98 153.38
49 11.81 63.29 40.42 28.98 129.46
50 11.79 28.59 30.95 19.28 156.68
51 12.02 44.71 41.06 26.07 162.14
52 12.24 48.25 43.33 26.70 160.78
53 12.26 55.32 41.94 29.76 154.94
54 11.75 72.19 24.38 18.91 93.51
55 12.62 32.51 34.53 22.53 169.40
56 12.61 74.77 18.71 15.57 65.13
57 12.63 69.75 37.55 31.07 119.42
58 12.87 36.43 40.55 23.83 162.21
59 13.20 39.56 39.31 24.26 157.69
60 13.26 58.80 45.91 30.30 131.79
61 13.29 66.05 43.87 32.26 119.03
62 13.21 23.98 30.38 18.60 159.83
63 13.11 27.26 33.49 21.42 167.93
64 13.61 42.83 43.45 27.23 162.11
65 13.60 72.99 35.03 28.44 98.54
66 13.68 51.14 44.66 30.16 149.41
67 13.63 46.59 46.64 26.28 148.63
68 13.93 62.29 47.21 32.56 125.16
69 14.00 30.65 39.62 22.66 162.76
70 13.91 54.88 47.03 30.52 148.12
71 13.99 27.28 32.50 21.23 155.10
72 14.91 34.04 40.39 25.34 153.78
73 14.73 69.43 47.33 34.67 106.57
74 14.76 22.63 31.09 18.29 140.91
75 14.95 36.97 43.18 26.25 150.46
76 14.42 46.48 38.70 27.58 149.94
77 15.54 39.77 46.01 27.65 136.36
78 15.21 48.40 50.60 32.00 150.55
79 15.15 57.94 51.31 34.07 142.31
80 15.20 65.22 54.84 35.30 119.27
81 15.34 74.29 46.33 32.02 88.06
82 15.40 28.03 40.22 23.29 148.42
83 15.32 43.04 46.37 29.12 144.65
84 15.77 51.68 51.40 33.22 137.90
85 15.61 54.60 54.99 33.68 143.60
86 15.87 61.09 54.46 34.64 124.56
87 16.07 24.71 39.36 23.34 145.47
88 16.18 31.68 46.23 27.22 157.46
89 16.41 45.63 52.26 32.90 144.84
90 16.48 70.82 57.94 37.13 100.41
91 16.45 78.28 35.52 25.82 69.96
92 16.83 19.32 31.35 17.19 117.97
93 16.73 67.08 59.53 39.20 112.62
94 17.16 35.33 51.00 26.57 127.95
95 16.98 49.07 56.52 34.53 143.14
96 17.12 56.73 54.36 34.46 118.82
97 17.26 74.30 50.53 37.38 91.23
98 17.52 64.03 61.77 38.24 104.29
99 17.26 29.21 50.16 27.82 144.46
100 17.51 43.10 56.69 33.29 137.86
101 17.60 22.16 42.44 21.95 133.34
102 17.48 39.34 52.22 29.49 137.44
103 17.72 53.02 60.57 34.59 121.51
104 17.52 60.36 63.64 40.23 124.99
105 18.04 25.25 45.75 25.10 139.10
106 18.58 48.77 58.03 33.74 118.88
107 18.26 79.23 40.61 33.03 67.95
108 18.33 68.90 63.69 40.45 99.34
109 18.76 32.30 53.31 28.06 130.04
110 18.97 18.75 37.72 20.30 118.31
111 18.81 28.49 52.74 27.37 139.43
112 18.97 45.73 62.65 34.04 129.21
113 18.83 74.74 55.96 38.06 82.84
114 19.00 57.10 61.84 37.13 110.25
115 19.26 35.47 59.17 30.89 128.50
116 19.25 38.69 62.32 32.83 131.68
117 19.13 60.50 72.04 40.05 114.25
118 19.51 42.37 61.81 31.94 123.04
119 19.49 51.91 72.72 39.80 124.67
120 19.39 63.94 72.36 41.27 109.58
121 19.89 21.56 41.88 22.43 117.37
122 19.78 71.35 71.88 46.03 93.99
123 19.89 54.62 74.29 41.55 126.66
124 19.80 81.67 49.26 32.55 66.23
125 19.97 25.37 56.89 26.75 125.94
126 20.06 67.50 74.96 44.75 99.77
127 20.36 78.45 65.85 44.68 78.43
128 20.27 29.49 66.54 30.72 134.28
129 20.68 49.75 82.34 40.86 123.88
130 20.83 17.63 43.65 20.64 101.18
131 20.81 46.23 75.42 38.04 117.52
132 21.04 32.40 66.14 30.11 115.23
133 20.55 40.07 65.33 34.22 128.38
134 20.90 60.86 85.65 42.17 105.75
135 21.06 57.03 84.36 42.49 109.10
136 21.05 36.49 66.47 31.60 116.46
137 21.14 65.07 84.26 47.73 101.84
138 21.79 52.83 86.45 40.61 104.35
139 21.47 71.09 84.20 48.65 90.82
140 21.61 23.46 59.85 28.20 117.60
141 21.81 43.54 82.58 39.99 120.57
142 21.70 27.96 64.80 29.13 113.36
143 21.35 40.49 77.70 36.29 116.73
144 21.73 81.82 69.25 38.96 64.24
145 21.69 14.49 35.77 17.85 88.32
146 22.55 20.65 55.18 25.89 103.76
147 22.24 67.42 91.37 49.38 91.01
148 22.21 12.96 34.42 19.32 89.57
149 22.07 49.32 92.09 42.68 118.25
150 22.43 63.47 100.87 49.74 99.29
151 22.21 33.90 81.11 33.84 122.14
152 22.76 79.02 82.98 45.66 68.26
153 22.62 59.59 101.58 48.68 103.47
154 22.85 37.69 86.93 37.04 115.10
155 22.80 17.27 53.04 24.41 102.44
156 22.78 55.91 102.27 44.76 101.38
157 22.89 46.37 98.19 44.02 118.49
158 22.58 74.62 91.14 50.49 76.66
159 22.96 26.14 73.16 30.82 112.55
160 23.04 40.94 88.35 39.22 114.29
161 23.08 85.14 60.79 34.20 52.02
162 23.32 30.64 76.97 31.56 109.05
163 23.18 71.33 108.04 54.46 90.80
164 22.88 34.30 76.38 33.81 120.36
165 22.89 49.58 97.12 42.79 109.81
166 23.13 76.12 100.44 53.47 79.38
